blok,total_trees,merah,oranye,kuning,hijau,spread_ratio,infection_pct,severity_score
F08,3770,1,1104,2663,2,1104.0,29.310344827586203,10279.224137931034
D01,3486,1,887,2586,12,887.0,25.47332185886403,8259.589328743547
D03,3131,2,1530,1599,0,765.0,48.93005429575216,7364.172021718301
F09,2579,2,544,2033,0,272.0,21.1709965102753,2620.26839860411
E01,3008,9,1601,1398,0,177.88888888888889,53.52393617021277,2105.4095744680853
D02,3182,17,1959,1206,0,115.23529411764706,62.09930861093652,1654.757370503198
E04,2569,9,1195,1365,0,132.77777777777777,46.86648501362398,1574.9465940054495
E03,2797,8,1024,1765,0,128.0,36.896675008938146,1476.358670003575
E02,2854,15,1201,1637,1,80.06666666666666,42.606867554309744,1102.442747021724
F12,3435,3,324,2616,492,108.0,9.519650655021834,1073.9078602620086
